,loss,acc,val_loss,val_acc,lr
0,0.3787596821784973,0.8324999809265137,0.5105754733085632,0.8550000190734863,9.999999747378752e-05
1,0.1872718632221222,0.9175000190734863,0.2924436330795288,0.8899999856948853,9.999999747378752e-05
2,0.12010036408901215,0.9524999856948853,0.1347479373216629,0.9350000023841858,9.999999747378752e-05
3,0.06075655296444893,0.96875,0.35862407088279724,0.9200000166893005,9.999999747378752e-05
4,0.06604554504156113,0.9775000214576721,0.2746109962463379,0.9300000071525574,9.999999747378752e-05
5,0.027092278003692627,0.9925000071525574,0.2984956204891205,0.9449999928474426,9.999999747378752e-05
6,0.021198250353336334,0.9912499785423279,0.29826563596725464,0.949999988079071,4.999999873689376e-05
7,0.009116251952946186,0.9950000047683716,0.345101922750473,0.9350000023841858,4.999999873689376e-05
8,0.0018466946203261614,0.9987499713897705,0.3831072747707367,0.9449999928474426,4.999999873689376e-05
9,0.00019767270714510232,1.0,0.3394380509853363,0.9449999928474426,2.499999936844688e-05
